name,,Code,latitude,longitude
Métro Villa-Maria (Décarie / de Monkland),,6102,45.493034,-73.583836
Lincoln / du Fort,,6103,45.53575309,-73.55794072
du Havre / Hochelaga,,6104,45.5168175,-73.55418831
Wolfe / René-Lévesque,,6105,45.51937252,-73.55195805
Plessis / René-Lévesque,,6106,45.52114,-73.54926
Papineau / René-Lévesque,,6107,45.49367956,-73.57914627
St-Mathieu / Ste-Catherine,,6108,45.52836602,-73.55117083
Logan / Fullum,,6109,45.51374144,-73.53838205
Quai de la navette fluviale,,6110,45.52900207,-73.54619935
Poupart / Ste-Catherine,,6111,45.52600589,-73.54886413
Parthenais / Ste-Catherine,,6112,45.51913918,-73.55786562
Montcalm / de Maisonneuve,,6113,45.52123045,-73.55386108
Alexandre-DeSève / Ste-Catherine,,6114,45.52353,-73.55199
Métro Papineau (Cartier / Ste-Catherine),,6115,45.46685124,-73.63162771
Benny / de Monkland,,6116,45.52349211,-73.56073022
Plessis / Ontario,,6117,45.50526304,-73.57048005
de Maisonneuve / Aylmer (est),,6118,45.52510955,-73.56020585
de Champlain / Ontario,,6119,45.5277309,-73.55753839
Ontario / de Lorimier,,6120,45.53370599,-73.55217934
Métro Frontenac (Ontario / du Havre),,6121,45.53456257,-73.55478646
du Havre / de Rouen,,6122,45.53057,-73.54913
Logan / d'Iberville,,6123,45.52327641,-73.55821833
Alexandre-DeSève / la Fontaine,,6124,45.53193889,-73.55343863
Poupart / Ontario,,6125,45.499757,-73.629298
Ellendale / de la Côte-des-Neiges,,6126,45.53213681,-73.5587132
Fullum / de Rouen,,6127,45.53658245,-73.61622512
de Gaspé / Jean-Talon,,6128,45.53529548,-73.5511601
Hogan / Ontario,,6129,45.52997069,-73.56305301
de Bordeaux / Sherbrooke,,6130,45.5367,-73.56081
Sherbrooke / Frontenac,,6131,45.533924,-73.562425
Fullum / Sherbrooke,,6132,45.52913454,-73.55923355
Larivière / de Lorimier,,6133,45.53673839,-73.56516659
Chapleau / Terrasse Mercure,,6134,45.53840341,-73.56196404
Bercy / Rachel,,6136,45.52761627,-73.5891147
Métro Laurier (Rivard / Laurier),,6137,45.53034709,-73.56698781
Cartier / Gauthier,,6138,45.53167355,-73.56541336
Gauthier / de Lorimier,,6139,45.53292626,-73.56377989
Gauthier / Parthenais,,6140,45.52980158,-73.57028961
Marquette / Rachel,,6141,45.53354754,-73.56686711
des Érables / Rachel,,6142,45.52779479,-73.57193917
Calixa-Lavallée / Rachel,,6143,45.52689,-73.57264
Rachel / de Brébeuf,,6145,45.52451761,-73.57197672
du Parc-La Fontaine / Duluth,,6146,45.52317047,-73.56901288
du Parc-La Fontaine / Roy,,6147,45.52479,-73.56545
Calixa-Lavallée / Sherbrooke,,6148,45.52720059,-73.56472939
Émile-Duployé / Sherbrooke,,6149,45.53867,-73.56936
Chapleau / du Mont-Royal,,6150,45.53711414,-73.5710031
Messier / du Mont-Royal,,6151,45.53646917,-73.57146308
Parthenais / du Mont-Royal,,6152,45.53418509,-73.57358873
Chabot / du Mont-Royal,,6153,45.532674,-73.571776
Cartier / Marie-Anne,,6154,45.53229,-73.57544
Marquette / du Mont-Royal,,6155,45.53092,-73.57674
Garnier / du Mont-Royal,,6156,45.52775814,-73.57618511
Marie-Anne / de la Roche,,6157,45.52940778,-73.57815385
de Brébeuf / du Mont-Royal,,6158,45.53081623,-73.58162597
Gilford / de Brébeuf,,6159,45.49452706,-73.5567525
Ann / Wellington,,6160,45.53297746,-73.5812223
Garnier / St-Joseph,,6161,45.53582824,-73.57869029
Cartier / St-Joseph,,6162,45.54612388,-73.64664674
Legendre / Henri-Julien,,6163,45.53543,-73.5822
Marquette / Laurier,,6164,45.53331361,-73.58373687
de Lanaudière / Laurier,,6165,45.53251396,-73.58481109
Laurier / de Brébeuf,,6166,45.53373523,-73.58930647
Gerry-Boulet / St-Grégoire,,6167,45.53703,-73.58584
Marquette / St-Grégoire,,6168,45.53087132,-73.59834552
Marmier / St-Denis,,6169,45.52743213,-73.57991673
Boyer / du Mont-Royal,,6170,45.53045007,-73.58763814
de Mentana / Laurier,,6171,45.51958083,-73.56011599
